Co_ID|Exchange|Name| root_ ticker | QMV | OS_Shares | tech_sub_sector | cps | re |Sector| Sub_Sector |type_of_listing|date_of_listing|hq_location|hq_region|interlisted_code_1|interlisted_code_2|tsx_ven_grad|former_cpc|Index|technology_sub_sector|usa_city|USA_State|asia_region|place_inCopporated|fundfamily|sp_grouping|SP_Sub|income_trust_conversion| volume_ytd | value_ ytd | num_traded_share_ytd | num_of_month_trading_data |AFRICA|AUS_NZ_PNG|CANADA|CHINA_ ASIA|LATIN_AMERICA|OTHER|UK_EUROPE|USA|Oil_Gas|Gold|Silver|Copper|Nickel|Diamond|Molybdenum|Platinum_PGM|Iron|Lead|Zinc|Rare Earths|Potash|Lithium|Uranium|Coal|Tungsten|base_ precious_metals|mineral_properties|other_properties
RIV0002|TSX|Wesdome Gold Mines Ltd.|WDO| 412,014,710 | 134,206,746 |||| Mining |||19890309|ON|Canada||||||||||C||||| 55,654,048 | 122,186,122 | 80,313 |6|||Quebec|||||||1||||||||||||||||||
WES0062|TSX|Western Copper and Gold Corporation|WRN| 111,506,081 | 99,559,001 |||| Mining ||Other|20060515|BC|Canada|TSX-NYSE MKT|||||||||C||||| 8,486,821 | 9,864,405 | 7,474 |6|||YT|||||||1||1|||1|||||||||||||
WES0067|TSX|Western Resources Corp.|WRX| 37,374,844 | 93,437,110 |||| Mining |Agriculture|TSXV Grad|20110712|BC|Canada|||1|||||||C||||| 2,847,884 | 1,164,335 | 1,065 |6|||SK||||||||||||||||||1|||||||
CHA0006|TSX|Wheaton Precious Metals Corp.|WPM| 12,860,702,742 | 443,166,876 |||| Mining ||TSXV Grad|20041022|BC|Canada|TSX-NYSE||1|1|60|||||C||||| 96,228,229 | 2,569,378,217 | 452,510 |6|||MB,ON,YT||Argentina,Brazil,Chile,Guyana,Mexico,Peru||Greece,Portugal,Sweden|AZ||1|1|1|1||||||1|||||||||Royalty Streaming
XTR0002|TSX|Xtra-Gold Resources Corp.|XTG| 14,264,825 | 47,549,417 |||| Mining ||IPO|20101123|ON|Canada|TSX-OTCQB|||||||||F||||| 3,004,597 | 739,009 | 478 |6|Ghana|||||||||1||||||||||||||||||
YAM0001|TSX|Yamana Gold Inc.|YRI| 3,634,256,862 | 948,892,131 |||| Mining |||19950209|ON|Canada|TSX-NYSE||||60|||||C||||| 297,104,871 | 1,159,279,666 | 360,310 |6|||MB,ON,Quebec||Argentina, Brazil, Chile|||||1||||||||||||||||||
YOR0001|TSX|Yorbeau Resources Inc.|YRB| 12,301,561 | 307,539,013 |||| Mining |||19870917|Quebec|Canada||||||||||C||||| 19,233,672 | 861,597 | 870 |6|||Quebec|||||||1||||||||||||||||||
ADV0011|TSX|Advantage Oil & Gas Ltd.|AAV| 765,294,235 | 186,202,977 |||| Oil & Gas |||20010529|AB|Canada|TSX-NYSE||||1|||||C||||2009| 171,089,326 | 697,622,652 | 374,359 |6|||AB,BC,SK||||||1|||||||||||||||||||
AFR0006|TSX|Africa Oil Corp.|AOI| 555,269,790 | 470,567,619 |||| Oil & Gas ||TSXV Grad|20140506|BC|Canada|TSX-OMX Nordic Exchange||1|||||||C||||| 17,368,998 | 23,603,852 | 25,095 |6|Ethiopia, Kenya, Somalia||||||||1|||||||||||||||||||
AKI0001|TSX|Akita Drilling Ltd.|AKT| 101,750,797 | 17,945,661 |||| Industrial Products & Services |Energy Services||19930108|AB|Canada||||||||||C||||| 668,757 | 4,376,542 | 2,156 |6||||||||||||||||||||||||||||
ALT0015|TSX|AltaGas Ltd.|ALA| 8,069,877,790 | 303,386,996 |||| Industrial Products & Services |Energy Services|TSXV Grad|20000117|AB|Canada|||1||1|||||C||||2004_2010| 100,518,460 | 2,590,868,748 | 470,042 |6||||||||||||||||||||||||||||
ARC0002|TSX|ARC Resources Ltd.|ARX| 4,804,002,650 | 353,755,718 |||| Oil & Gas |||19960711|AB|Canada|||||60|||||C||||2011| 160,802,841 | 2,178,845,156 | 645,719 |6|||AB,BC,SK||||||1|||||||||||||||||||
ATC0001|TSX|Atco Ltd.|ACO| 4,656,373,518 | 114,771,728 |||| Utilities & Pipelines |||19680308|AB|Canada|||||1|||||C||||| 16,715,014 | 685,916,707 | 112,380 |6||||||||||||||||||||||||||||
ATH0005|TSX|Athabasca Oil Corporation|ATH| 927,252,004 | 515,140,002 |||| Oil & Gas ||IPO|20100407|AB|Canada||||||||||C||||| 265,827,881 | 409,697,028 | 149,359 |6|||AB||||||1|||||||||||||||||||
BAD0001|TSX|Badger Daylighting Ltd.|BAD| 1,174,978,567 | 37,100,681 |||| Industrial Products & Services |Energy Services||19970605|AB|Canada|||||1|||||C||||2004_2011| 18,182,538 | 482,982,586 | 89,779 |6||||||||||||||||||||||||||||
BAY0002|TSX|Baytex Energy Corp.|BTE| 1,033,846,345 | 236,578,111 |||| Oil & Gas ||TSXV Grad|19941221|AB|Canada|TSX-NYSE||1||1|||||C||||2003_2011| 568,975,703 | 2,656,758,391 | 640,324 |6|||AB, SK|||||TX|1|||||||||||||||||||
TUS0002|TSX|Bellatrix Exploration Ltd.|BXE| 125,413,103 | 62,176,593 |||| Oil & Gas ||TSXV Grad|19970619|AB|Canada|TSX-NYSE||1|1||||||C||||2004_2009| 50,810,562 | 86,065,722 | 55,488 |6|||AB||||||1|||||||||||||||||||
AVE0005|TSX|Bengal Energy Ltd.|BNG| 15,851,338 | 102,266,694 |||| Oil & Gas ||TSXV Grad|20071101|AB|Canada|||1|||||||C||||| 5,560,057 | 670,305 | 610 |6||Australia|||||||1|||||||||||||||||||
BIR0005|TSX|Birchcliff Energy Ltd.|BIR| 1,382,205,400 | 269,822,697 |||| Oil & Gas ||TSXV Grad|20050721|AB|Canada|||1||1|||||C||||| 278,736,549 | 1,097,598,163 | 438,353 |6|||AB||||||1|||||||||||||||||||
PEA0007|TSX|BlackPearl Resources Inc.|PXX| 491,624,690 | 336,729,240 |||| Oil & Gas ||TSXV Grad|20080904|AB|Canada|TSX-OMX Nordic Exchange||1|||||||C||||| 36,022,540 | 47,676,790 | 28,710 |6|||AB,SK|||||MT,TX|1|||||||||||||||||||
BNK0001|TSX|BNK Petroleum Inc.|BKX| 123,342,991 | 232,722,625 |||| Oil & Gas ||Other|20080710|USA|USA|||||||Camarillo|CA||C||||| 37,722,266 | 20,032,312 | 5,208 |6|||||||Germany,Poland|MS,NY,OK,TX|1|||||||||||||||||||
BON0001|TSX|Bonavista Energy Corporation|BNP| 377,246,304 | 253,185,439 |||| Oil & Gas |||19930805|AB|Canada||||||||||C||||2003_2011| 135,914,318 | 203,527,961 | 122,524 |6|||AB,BC,SK||||||1|||||||||||||||||||
COM0019|TSX|Bonterra Energy Corp.|BNE| 568,948,396 | 33,310,796 |||| Oil & Gas |||20010704|AB|Canada||||||||||C||||2008| 16,725,555 | 248,472,376 | 94,368 |6|||AB,SK||||||1|||||||||||||||||||
BRI0029|TSX|Bri-Chem Corp.|BRY| 9,094,533 | 23,932,981 |||| Industrial Products & Services |Energy Services|TSXV Grad|20110704|AB|Canada|||1|||||||C||||| 4,820,565 | 2,633,027 | 1,189 |6||||||||||||||||||||||||||||
DEN0004|TSX|Calfrac Well Services Ltd.|CFW| 804,639,711 | 144,200,665 |||| Industrial Products & Services |Energy Services||19600408|AB|Canada||||||||||C||||| 81,202,347 | 538,122,928 | 212,561 |6||||||||||||||||||||||||||||
CAN0171|TSX|Canacol Energy Ltd.|CNE| 753,946,357 | 176,982,713 |||| Oil & Gas ||TSXV Grad|20110503|AB|Canada|TSX-BVC|TSX-OTCQX|1|||||||C||||| 18,254,202 | 79,101,678 | 60,309 |6|||||Colombia, Ecuador||||1|||||||||||||||||||
CAN0029|TSX|Canadian Natural Resources Limited|CNQ| 58,102,618,477 | 1,224,501,970 |||| Oil & Gas |||19760514|AB|Canada|TSX-NYSE||||60|||||C||||| 372,231,877 | 15,998,909,443 | 1,818,294 |6|Offshore West Africa||AB,BC,SK||||UK||1|||||||||||||||||||
CAN0042|TSX|Canadian Utilities Limited|CU| 10,309,529,127 | 327,628,269 |||| Utilities & Pipelines |||19460312|AB|Canada|||||1|||||C||||| 33,862,270 | 1,110,461,056 | 192,429 |6||||||||||||||||||||||||||||
CAP0015|TSX|Capital Power Corporation|CPX| 3,354,723,230 | 135,986,652 |||| Utilities & Pipelines ||IPO|20090708|AB|Canada|||||1|||||C||||| 27,809,688 | 672,613,595 | 149,992 |6||||||||||||||||||||||||||||
CAR0030|TSX|Cardinal Energy Ltd.|CJ| 681,602,242 | 114,713,787 |||| Oil & Gas ||IPO|20131217|AB|Canada||||||||||C||||| 93,392,791 | 455,863,406 | 187,458 |6|||AB||||||1|||||||||||||||||||
CAR0006|TSX|Caribbean Utilities Company, Ltd.|CUP| 433,545,913 | 33,044,658 |||| Utilities & Pipelines |||19900910|Cayman Islands|Other||||||||||F||||| 244,102 | 3,239,116 | 450 |6||||||||||||||||||||||||||||
CAT0002|TSX|Cathedral Energy Services Ltd.|CET| 57,348,216 | 49,438,117 |||| Industrial Products & Services |Energy Services||19870925|AB|Canada||||||||||C||||2002_2009| 9,967,678 | 15,019,059 | 11,425 |6||||||||||||||||||||||||||||
CEN0020|TSX|Cenovus Energy Inc.|CVE| 16,771,735,440 | 1,228,698,567 |||| Oil & Gas ||Other|20091203|AB|Canada|TSX-NYSE||||60|||||C||||| 614,160,500 | 7,407,820,743 | 1,373,076 |6|||AB,SK||||||1|||||||||||||||||||
SAB0003|TSX|Cequence Energy Ltd.|CQE| 19,642,231 | 245,527,883 |||| Oil & Gas ||Other|20070824|AB|Canada||||||||||C||||| 79,682,265 | 5,185,166 | 4,716 |6|||AB,BC||||||1|||||||||||||||||||
CAN0149|TSX|CES Energy Solutions Corp.|CEU| 1,204,157,964 | 268,186,629 |||| Industrial Products & Services |Energy Services|IPO|20060301|AB|Canada|||||1|||||C||||2010| 97,171,767 | 544,187,078 | 231,557 |6||||||||||||||||||||||||||||
CHI0012|TSX|Chinook Energy Inc.|CKE| 44,712,920 | 223,564,601 |||| Oil & Gas ||Other|20100706|AB|Canada||||||||||C||||| 11,339,234 | 2,270,698 | 2,329 |6|North Africa||Western Canada||||||1|||||||||||||||||||
NEW0052|TSX|ClearStream Energy Services Inc.|CSM| 7,146,181 | 109,941,241 |||| Industrial Products & Services |Energy Services|IPO|20050805|AB|Canada||||||||||C||||2011| 6,982,165 | 572,999 | 602 |6||||||||||||||||||||||||||||
CNO0001|TSX|CNOOC Limited|CNU| 2,270,411,740 | 10,080,862 |||| Oil & Gas ||Other|20130918|Hong Kong|Asia|TSX-NYSE|TSX-HKEx|||||||Hong Kong|F||||| 7,156 | 1,452,551 | 98 |6|Algeria,Equatorial Guinea,Gabon,Nigeria,Republic of Congo,Uganda|Australia,New Zealand,Papua New Guinea|AB, YT|China,Indonesia|Argentina,Brazil,Colombia,Trinidad & Tobago|Iraq|Iceland,UK|AK, CO, TX, WY|1|||||||||||||||||||
CON0090|TSX|Condor Petroleum Inc.|CPI| 22,930,503 | 43,265,100 |||| Oil & Gas ||IPO|20110411|AB|Canada||||||||||C||||| 2,362,330 | 1,450,070 | 535 |6|||Canada|||Kazakhstan|||1|||||||||||||||||||
COR0028|TSX|Corridor Resources Inc.|CDH| 55,852,838 | 88,655,299 |||| Oil & Gas ||TSXV Grad|20060417|NS|Canada|||1|||||||C||||| 7,489,570 | 5,512,602 | 2,081 |6|||NB,PEI,Quebec||||||1|||||||||||||||||||
CRE0010|TSX|Crescent Point Energy Corp.|CPG| 5,306,065,318 | 549,282,124 |||| Oil & Gas ||TSXV Grad|20020930|AB|Canada|TSX-NYSE||1||60|||||C||||2003_2009| 471,066,721 | 4,681,381,987 | 922,444 |6|||AB,SK||||||1|||||||||||||||||||
CRE0012|TSX|Crew Energy Inc.|CR| 304,932,817 | 151,707,869 |||| Oil & Gas ||Other|20030908|AB|Canada||||||||||C||||| 141,778,818 | 311,457,566 | 220,777 |6|||AB,BC||||||1|||||||||||||||||||
CRI0005|TSX|Critical Control Energy Services Corp.|CCZ| 11,149,311 | 46,209,355 |IT Consulting & Services||| Technology |Energy Services|TSXV Grad|20090211|AB|Canada|||1|||IT Consulting & Services||||C||||| 2,156,006 | 432,817 | 238 |6||||||||||||||||||||||||||||
CRI0006|TSX|Crius Energy Trust|KWH| 383,812,351 | 57,030,067 |||| Utilities & Pipelines ||IPO|20121113|USA|USA|||||||Stamford|CT||C||Income Trust|Power & Pipelines|| 21,677,651 | 175,742,233 | 74,796 |6||||||||||||||||||||||||||||
CUI0001|TSX|CU Inc.|CIU| 151,722,000 | 7,600,000 |||| Utilities & Pipelines ||Other|20070417|AB|Canada||||||||||C||||| 328,652 | 6,207,513 | 538 |6||||||||||||||||||||||||||||
DEL0011|TSX|Delphi Energy Corp.|DEE| 252,381,669 | 186,447,351 |||| Oil & Gas ||TSXV Grad|20040803|AB|Canada|||1|1||||||C||||| 16,978,877 | 20,895,917 | 7,470 |6|||AB,BC||||||1|||||||||||||||||||
DEJ0002|TSX|DXI Energy Inc.|DXI| 7,252,426 | 103,606,088 |||| Oil & Gas ||TSXV Grad|20081120|BC|Canada|TSX-OTCQB||1|||||||C||||| 13,215,269 | 1,158,926 | 1,687 |6|||BC|||||CO|1|||||||||||||||||||
EAG0005|TSX|Eagle Energy Inc.|EGL| 16,625,185 | 43,750,488 |||| Oil & Gas ||IPO|20101124|AB|Canada||||||||||C||||| 8,688,726 | 3,556,572 | 3,227 |6||||||||TX|1|||||||||||||||||||
NOV0004|TSX|Emera Incorporated|EMA| 10,816,224,605 | 271,591,677 |||| Utilities & Pipelines |||19990106|NS|Canada|||||60|||||C||||| 92,621,362 | 3,786,575,030 | 499,052 |6||||||||||||||||||||||||||||
ENB0001|TSX|Enbridge Inc.|ENB| 86,777,390,322 | 2,019,602,546 |||| Utilities & Pipelines |||19530215|AB|Canada|TSX-NYSE||||60|||||C||||| 489,084,543 | 19,907,812,552 | 2,138,059 |6||||||||||||||||||||||||||||
ENB0003|TSX|Enbridge Income Fund Holdings Inc.|ENF| 5,631,133,411 | 174,662,947 |||| Utilities & Pipelines |||20030627|AB|Canada|||||1|||||C||||2010| 73,393,841 | 2,087,763,083 | 351,656 |6||||||||||||||||||||||||||||
PAN0020|TSX|Encana Corporation|ECA| 16,535,656,222 | 963,055,109 |||| Oil & Gas |||20011003|AB|Canada|TSX-NYSE||||60|||||C||||| 491,774,979 | 7,631,540,941 | 1,116,920 |6|||AB,BC|||||CO,TX,WY|1|||||||||||||||||||
ENE0021|TSX|Enerflex Ltd.|EFX| 1,252,891,767 | 88,606,207 |||| Industrial Products & Services |Energy Services|Other|20110603|AB|Canada|||||1|||||C||||| 29,941,212 | 458,942,259 | 155,284 |6||||||||||||||||||||||||||||
ENE0005|TSX|Enerplus Corporation|ERF| 4,060,504,125 | 244,903,747 |||| Oil & Gas |||19870311|AB|Canada|TSX-NYSE||||1|||||C||||2011| 145,302,901 | 2,130,229,817 | 551,910 |6|||AB,BC,SK|||||MT,ND|1|||||||||||||||||||
ENS0003|TSX|Ensign Energy Services Inc.|ESI| 922,027,996 | 157,074,616 |||| Industrial Products & Services |Energy Services|TSXV Grad|19930625|AB|Canada|||1||1|||||C||||| 38,594,101 | 248,365,820 | 162,101 |6||||||||||||||||||||||||||||
ENT0006|TSX|Enterprise Group, Inc.|E| 26,562,660 | 55,338,874 |||| Industrial Products & Services |Energy Services|TSXV Grad|20070813|AB|Canada|||1|1||||||C||||| 6,735,955 | 3,067,128 | 2,104 |6||||||||||||||||||||||||||||
EPS0003|TSX|Epsilon Energy Ltd.|EPS| 154,127,974 | 55,045,705 |||| Oil & Gas ||IPO|20071023|USA|USA|||||||Houston|TX||C||||| 1,679,176 | 4,381,092 | 1,256 |6||||||||PA|1|||||||||||||||||||
ESS0005|TSX|Essential Energy Services Ltd.|ESN| 80,858,383 | 141,856,813 |||| Industrial Products & Services |Energy Services|Other|20060529|AB|Canada||||||||||C||||2010| 11,064,724 | 7,092,427 | 3,999 |6||||||||||||||||||||||||||||
FOR0021|TSX|Foraco International SA|FAR| 36,430,478 | 89,951,798 |||| Industrial Products & Services |Energy Services|IPO|20070801|France|UK/Europe||||||||||F||||| 617,186 | 241,407 | 291 |6||||||||||||||||||||||||||||
FOR0011|TSX|Fortis Inc.|FTS| 19,232,226,042 | 489,248,800 |||| Utilities & Pipelines |||19691119|NL|Canada|TSX-NYSE||||60|||||C||||| 136,558,302 | 5,643,917,463 | 702,092 |6||||||||||||||||||||||||||||
FRE0001|TSX|Freehold Royalties Ltd.|FRU| 1,466,147,071 | 118,237,667 |||| Oil & Gas |||19961125|AB|Canada|||||1|||||C||||2011| 35,610,010 | 462,386,552 | 169,871 |6|||AB,BC,MB,ON,SK||||||1|||||||||||||||||||
PAC0027|TSX|Frontera Energy Corporation|FEC| 1,913,223,132 | 100,011,664 |||| Oil & Gas ||Other|20161103|Colombia|Latin America|||1|||||||C||||| 3,685,524 | 138,946,623 | 12,080 |6|||||Belize,Colombia,Guyana,Peru||||1|||||||||||||||||||
GEA0003|TSX|Gear Energy Ltd.|GXE| 263,206,931 | 194,968,097 |||| Oil & Gas ||Other|20131118|AB|Canada||||||||||C||||| 52,857,934 | 52,636,696 | 17,040 |6|||AB, SK||||||1|||||||||||||||||||
GIB0002|TSX|Gibson Energy Inc.|GEI| 2,628,126,642 | 144,854,914 |||| Industrial Products & Services |Energy Services|IPO|20110614|AB|Canada|||||1|||||C||||| 38,649,224 | 685,419,515 | 199,137 |6||||||||||||||||||||||||||||
GRA0020|TSX|Gran Tierra Energy Inc.|GTE| 1,753,545,621 | 385,394,642 |||| Oil & Gas ||Other|20080219|AB|Canada|TSX-NYSE MKT||||1|||||U||||| 96,787,995 | 368,728,939 | 143,228 |6|||||Brazil,Colombia,Peru||||1|||||||||||||||||||
GRA0021|TSX|Gran Tierra Exchangeco Inc.|GTX| 19,197,251 | 4,219,176 |||| Oil & Gas ||Other|20081119|AB|Canada||||||||||C||||| 314,398 | 1,318,763 | 164 |6|||||Brazil,Colombia,Peru||||1|||||||||||||||||||
DEE0005|TSX|Granite Oil Corp.|GXO| 103,939,582 | 34,190,652 |||| Oil & Gas ||TSXV Grad|20101020|AB|Canada|TSX-OTCQX||1|1||||||C||||| 14,197,617 | 38,415,566 | 25,065 |6|||AB||||||1|||||||||||||||||||
HAN0003|TSX|Hanwei Energy Services Corp.|HE| 5,826,037 | 194,201,234 |||| Industrial Products & Services |Energy Services|TSXV Grad|20070917|China|Asia|||1|1|||||Heilongjiang|C||||| 6,781,477 | 226,218 | 575 |6||||||||||||||||||||||||||||
HIG0021|TSX|High Arctic Energy Services Inc.|HWO| 200,160,505 | 52,398,038 |||| Industrial Products & Services |Energy Services|IPO|20050720|AB|Canada||||||||||C||||| 7,590,812 | 30,150,818 | 22,314 |6||||||||||||||||||||||||||||
HOR0007|TSX|Horizon North Logistics Inc.|HNL| 432,183,582 | 164,328,358 |||| Industrial Products & Services |Energy Services|TSXV Grad|20070528|AB|Canada|||1|||||||C||||| 48,711,369 | 106,884,125 | 53,792 |6||||||||||||||||||||||||||||
HUS0003|TSX|Husky Energy Inc.|HSE| 21,408,958,986 | 1,041,121,098 |||| Oil & Gas |||20000828|AB|Canada|||||60|||||C||||| 154,263,054 | 2,823,694,311 | 648,316 |6|||AB,Atlantic Canada,BC,SK|China,Indonesia|||||1|||||||||||||||||||
HYD0008|TSX|Hydro One Limited|H| 11,983,818,658 | 597,422,438 |||| Utilities & Pipelines ||IPO|20151105|ON|Canada|||||1|||||C||||| 95,723,575 | 2,015,238,939 | 380,937 |6||||||||||||||||||||||||||||
HYD0007|TSX|Hyduke Energy Services Inc.|HYD| 8,010,166 | 69,653,616 |||| Industrial Products & Services |Energy Services|TSXV Grad|20070924|AB|Canada|||1|||||||C||||| 6,034,824 | 953,291 | 827 |6||||||||||||||||||||||||||||
IMP0005|TSX|Imperial Oil Limited|IMO| 35,505,600,574 | 812,485,139 |||| Oil & Gas |||19211125|AB|Canada|TSX-NYSE MKT||||60|||||C||||| 132,579,989 | 5,165,742,794 | 688,251 |6|||Canada||||Europe||1|||||||||||||||||||
INP0001|TSX|InPlay Oil Corp.|IPO| 125,590,245 | 67,886,619 |||| Oil & Gas ||Other|20161110|AB|Canada|TSX-OTCQX|||||||||C||||| 9,569,598 | 15,593,193 | 7,714 |6|||AB||||||1|||||||||||||||||||
KOC0001|TSX|Inter Pipeline Ltd.|IPL| 9,499,717,107 | 385,540,467 |||| Utilities & Pipelines |||19971127|AB|Canada|||||60|||||C||||2013| 124,483,144 | 2,950,274,453 | 537,262 |6||||||||||||||||||||||||||||
INT0125|TSX|International Petroleum Corporation|IPCO| 769,316,153 | 87,921,846 |||| Oil & Gas ||Other|20170424|BC|Canada|TSX-OMX Nordic Exchange|||||||||C||||| 261,266 | 1,798,452 | 1,031 |6||||Malaysia|||France, Netherlands||1|||||||||||||||||||
ORL0002|TSX|Iron Bridge Resources Inc.|IBR| 116,115,519 | 154,820,692 |||| Oil & Gas ||TSXV Grad|20080625|AB|Canada|||1|||||||C||||| 34,184,885 | 22,041,893 | 6,494 |6|||AB||||||1|||||||||||||||||||
JOU0004|TSX|Journey Energy Inc.|JOY| 66,299,607 | 38,546,283 |||| Oil & Gas ||IPO|20140619|AB|Canada||||||||||C||||| 1,304,710 | 2,375,602 | 1,228 |6|||AB||||||1|||||||||||||||||||
ENE0010|TSX|Just Energy Group Inc.|JE| 1,064,532,256 | 155,650,151 |||| Utilities & Pipelines ||Other|20010427|ON|Canada|TSX-NYSE|||||||||C||||2011| 53,682,094 | 346,454,123 | 177,955 |6||||||||||||||||||||||||||||
KEL0007|TSX|Kelt Exploration Ltd.|KEL| 1,797,431,513 | 184,442,724 |||| Oil & Gas ||Other|20130301|AB|Canada|||||1|||||C||||| 97,950,443 | 756,206,172 | 296,975 |6|||AB,BC||||||1|||||||||||||||||||
KEY0004|TSX|Keyera Corp.|KEY| 7,566,777,226 | 206,855,583 |||| Utilities & Pipelines ||IPO|20030529|AB|Canada|||||1|||||C||||2011| 67,698,029 | 2,352,030,115 | 421,410 |6||||||||||||||||||||||||||||
KIN0020|TSX|Kinder Morgan Canada Limited|KML| 2,202,153,014 | 126,023,460 |||| Utilities & Pipelines ||IPO|20170530|AB|Canada|||||1|||||C||||| 57,130,871 | 998,861,758 | 217,995 |6||||||||||||||||||||||||||||
MAX0010|TSX|Maxim Power Corp.|MXG| 139,290,754 | 54,623,825 |||| Utilities & Pipelines ||TSXV Grad|20050623|AB|Canada|||1|1||||||C||||| 6,455,959 | 15,675,739 | 961 |6||||||||||||||||||||||||||||
MCC0003|TSX|McCoy Global Inc.|MCB| 37,785,749 | 27,580,839 |||| Industrial Products & Services |Energy Services||19971118|AB|Canada||||||||||C||||| 1,036,868 | 1,431,637 | 832 |6||||||||||||||||||||||||||||
MEG0006|TSX|MEG Energy Corp.|MEG| 3,223,509,102 | 294,115,794 |||| Oil & Gas ||IPO|20100806|AB|Canada|||||1|||||C||||| 255,737,655 | 1,869,639,218 | 647,200 |6|||AB||||||1|||||||||||||||||||
MUL0001|TSX|Mullen Group Ltd.|MTL| 1,605,966,644 | 103,677,640 |||| Industrial Products & Services |Energy Services||19931213|AB|Canada|||||1|||||C||||2005_2009| 14,900,328 | 222,057,518 | 90,319 |6||||||||||||||||||||||||||||
NEW0017|TSX|Newalta Corporation|NAL| 111,066,666 | 88,148,148 |||| Industrial Products & Services |Energy Services||19880510|AB|Canada||||||||||C||||2003_2009| 21,651,277 | 27,061,989 | 19,391 |6||||||||||||||||||||||||||||
NIK0001|TSX|Niko Resources Ltd.|NKO| 6,559,878 | 95,196,067 |||| Oil & Gas ||TSXV Grad|19981211|AB|Canada|||1|||||||C||||| 34,315,349 | 3,273,700 | 3,872 |6||||Asia,India|||||1|||||||||||||||||||
NOR0071|TSX|North American Construction Group Ltd.|NOA| 253,804,434 | 27,732,185 |||| Industrial Products & Services |Energy Services|IPO|20061127|AB|Canada|TSX-NYSE|||||||||C||||| 3,061,796 | 28,076,131 | 14,022 |6||||||||||||||||||||||||||||
NUV0002|TSX|NuVista Energy Ltd.|NVA| 1,592,582,298 | 174,625,252 |||| Oil & Gas ||Other|20030707|AB|Canada|||||1|||||C||||| 67,715,993 | 566,539,100 | 263,005 |6|||AB,SK||||||1|||||||||||||||||||
NXT0001|TSX|NXT Energy Solutions Inc.|SFD| 61,314,250 | 67,378,297 |Hardware & Equipment||| Technology |Energy Services|TSXV Grad|20160322|AB|Canada|TSX-OTCQB||1|||Hardware & Equipment||||C||||| 1,692,285 | 1,877,542 | 1,277 |6||||||||||||||||||||||||||||
PEN0005|TSX|Obsidian Energy Ltd.|OBE| 755,568,653 | 507,093,056 |||| Oil & Gas |||19800801|AB|Canada|TSX-NYSE|||||||||C||||2005_2011| 69,356,030 | 95,011,731 | 59,536 |6|||AB,BC,SK||||||1|||||||||||||||||||
ORY0001|TSX|Oryx Petroleum Corporation Limited|OXC| 100,853,011 | 458,422,779 |||| Oil & Gas ||IPO|20130515|AB|Canada||||||||||C||||| 2,187,914 | 476,507 | 269 |6|Congo, Guinea-Bissau, Nigeria, Senegal|||||Iraq|||1|||||||||||||||||||
PAI0002|TSX|Painted Pony Energy Ltd.|PONY| 367,070,178 | 160,995,692 |||| Oil & Gas ||TSXV Grad|20131017|AB|Canada|||1|||||||C||||| 108,620,135 | 244,232,625 | 120,216 |6|||BC||||||1|||||||||||||||||||
PAR0018|TSX|Paramount Resources Ltd.|POU| 1,990,303,193 | 133,667,105 |||| Oil & Gas ||Other|20050406|AB|Canada|||||1|||||C||||| 55,632,522 | 911,088,471 | 303,046 |6|||AB,BC,SK|||||MT,ND|1|||||||||||||||||||
PAR0021|TSX|Parex Resources Inc.|PXT| 3,865,500,580 | 155,741,361 |||| Oil & Gas ||TSXV Grad|20111003|AB|Canada|||1||1|||||C||||| 71,758,745 | 1,473,557,512 | 345,285 |6|||||Colombia||||1|||||||||||||||||||
PAS0001|TSX|Pason Systems Inc.|PSI| 1,834,448,448 | 85,243,887 |||| Industrial Products & Services |Energy Services|TSXV Grad|19971224|AB|Canada|||1|1|1|||||C||||| 15,769,384 | 297,769,872 | 93,493 |6||||||||||||||||||||||||||||
PEM0001|TSX|Pembina Pipeline Corporation|PPL| 25,508,412,543 | 604,536,523 |||| Utilities & Pipelines |||19971024|AB|Canada|TSX-NYSE||||60|||||C||||2010| 163,626,058 | 6,764,725,368 | 781,228 |6||||||||||||||||||||||||||||
PEN0003|TSX|Pengrowth Energy Corporation|PGF| 522,750,065 | 556,117,090 |||| Oil & Gas |||19890116|AB|Canada|TSX-NYSE|||||||||C||||2011| 62,080,080 | 60,805,131 | 38,852 |6|||AB,Atlantic Canada,BC,SK||||||1|||||||||||||||||||
PAR0015|TSX|Perpetual Energy Inc.|PMT| 39,474,583 | 60,730,127 |||| Oil & Gas ||Other|20030207|AB|Canada||||||||||C||||2010| 4,988,507 | 3,501,557 | 2,161 |6|||AB,SK||||||1|||||||||||||||||||
PET0026|TSX|Petrus Resources Ltd.|PRQ| 49,986,902 | 49,491,982 |||| Oil & Gas ||Other|20160208|AB|Canada|TSX-OTCQX|||||||||C||||| 4,837,332 | 6,293,316 | 3,238 |6|||AB||||||1|||||||||||||||||||
PEY0001|TSX|Peyto Exploration & Development Corp.|PEY| 1,668,526,651 | 164,874,175 |||| Oil & Gas ||TSXV Grad|20010528|AB|Canada|||1|1|1|||||C||||2003_2011| 128,918,581 | 1,467,033,096 | 514,334 |6|||AB||||||1|||||||||||||||||||
PHO0007|TSX|PHX Energy Services Corp.|PHX| 124,121,249 | 58,272,887 |||| Industrial Products & Services |Energy Services|TSXV Grad|20030324|AB|Canada|||1|1||||||C||||2004_2011| 6,751,502 | 14,467,821 | 4,509 |6||||||||||||||||||||||||||||
